Words,Scores,Idf
lower,-0.013767401103037305,1.2994812394838047
mandatori,0.0016745112844045976,2.7091456025546226
membership,0.0020424277634116263,2.6588777982837972
met,-5.180479252104664e-4,2.3759842425638134
middl,0.004555136800995125,2.9644111123533556
million,0.0010117098836011035,0.5051335671472686
minus,0.003967129259655486,2.7398538372128307
negat,-0.016150356214110293,1.607965744908407
noth,-0.0020903633448180964,2.043467872021589
now,-0.0053731311088532074,1.304301004845007
obtain,-0.0023410664424317507,1.2423558720244543
offer,-0.005157438775116319,0.9081601680235316
ohio,0.003890199137895137,2.620630046537628
ordinari,0.0014592065859985656,2.059979789471082
own,0.004221056491436125,1.0652366504072976
pass,-3.8305489893804425e-4,2.1973056770483597
payrol,0.004872014520900062,2.7042863097371623
percentag,0.0020577789650428136,1.2673856200902895
placement,-0.0014957190886120725,2.8314038287555054
pleas,0.002788010146950496,1.0497873694925053
posit,0.0042154091479120435,1.8227262852061603
predecessor,-0.003207541319654272,2.5206527479106797
premium,0.001286822640187019,1.591236232680431
pressur,-0.005471483593645712,2.362117199612187
print,-1.1680288293269528e-5,2.337883036944192
prior,0.0025055144813026387,0.6142716946880551
program,0.0014491991220117813,1.0781436204517614
project,-0.00548194953202386,0.9976120885130316
provid,5.697565972487005e-4,0.3127459953753346
rais,0.01604289597661852,2.20157267529335
rang,-3.1120514994881926e-4,1.2949806260361765
rapid,-0.0022487468818726142,2.810747096082731
raw,-4.44620610739088e-4,2.3531203520646575
record,2.470982913399445e-4,0.7358654744835006
reduc,-0.0025136997712700685,1.0160338567835248
referenc,-2.7911345572643396e-4,2.489214023671089
reflect,0.0015171248360318522,0.6936068325844236
regular,-7.090426776869201e-4,1.8728975783540036
remain,-0.003179879408043348,0.7367969017513359
reorgan,-0.0033425326832592947,1.971537834973055
repurchas,0.0074100058277159295,1.470956702968369
reput,9.085415828482371e-4,2.6938381536103804
respond,-0.0018179173231637465,2.6823117938845074
retain,0.001057210545766223,1.3336665697935433
review,-0.002925788442838645,1.2681059255309268
rise,-0.0021270062914156584,1.9736756260894295
secur,0.0027147721023420097,1.041059733785882
shift,-0.0031142397466537818,2.9439255003361597
short,-7.290381959789284e-4,2.1529279677853626
situat,-0.002596722508334333,2.7000537124679838
six,7.829472477110765e-4,1.4168430294857983
skill,-0.0013055225083919686,2.9909589948013333
spend,-7.73397591713447e-4,2.1316272948504063
staff,-0.001280921967823947,2.6852800358975824
statist,3.7283608653096694e-4,2.2625256955593356
strateg,0.002604963106899394,1.5980281085694383
strong,0.014412327032371636,1.2581636802574367
stronger,0.008002796735379887,2.9113509752459215
subordin,4.3437146423508055e-5,2.276517424306838
suffici,-0.0014523769956976476,1.621075119267689
swap,-0.0011069636569885283,2.3349469984841345
take,-4.430484324826823e-4,1.2203159021969372
tangibl,-0.003528689150101796,2.534191624540251
third,-0.003354106213154087,0.9116183460237672
treasuri,5.048115094444047e-4,1.7270739716241923
treat,0.0011172051999000369,1.8629211238576309
undertak,1.984183690861982e-4,1.117647227580493
unfavor,-0.0011316692980106386,2.6569495292713565
univers,-0.0026969714895311173,2.6308999528783605
unlaw,-0.0013394035648579415,2.586121830198889
usa,-0.0013100936309467894,2.3756933757787495
vacat,0.007556495466410846,2.8868098663298043
various,-0.001107476348689161,1.32062113407357
venu,0.001976170512950054,2.9128427706493842
volum,-0.0015061217547802422,1.6507747764992544
waiver,0.009512337868726028,1.8753632365246122
weak,-0.0039324252408255355,2.4552636052956105
world,6.734134973693472e-4,1.60426116383534
yet,-0.0011965073465720554,2.0848898169987162
